Hidden Layers,Activation Function,Learning Rate,Epochs,Batch Size,Accuracy
[4],ReLU,10.0,1,16,0.3333333333333333
[4],ReLU,10.0,1,32,0.8055555555555556
[4],ReLU,10.0,1,64,0.5555555555555556
[4],ReLU,10.0,1,128,0.3888888888888889
[4],ReLU,10.0,1,256,0.4166666666666667
[4],ReLU,10.0,1,512,0.8333333333333334
[4],ReLU,10.0,10,16,0.3333333333333333
[4],ReLU,10.0,10,32,0.3333333333333333
[4],ReLU,10.0,10,64,0.3333333333333333
[4],ReLU,10.0,10,128,0.19444444444444445
[4],ReLU,10.0,10,256,0.3888888888888889
[4],ReLU,10.0,10,512,0.05555555555555555
[4],ReLU,10.0,25,16,0.3333333333333333
[4],ReLU,10.0,25,32,0.3333333333333333
[4],ReLU,10.0,25,64,0.3333333333333333
[4],ReLU,10.0,25,128,0.3333333333333333
[4],ReLU,10.0,25,256,0.6944444444444444
[4],ReLU,10.0,25,512,0.25
[4],ReLU,10.0,50,16,0.3333333333333333
[4],ReLU,10.0,50,32,0.3333333333333333
[4],ReLU,10.0,50,64,0.3333333333333333
[4],ReLU,10.0,50,128,0.3333333333333333
[4],ReLU,10.0,50,256,0.3333333333333333
[4],ReLU,10.0,50,512,0.3333333333333333
[4],ReLU,10.0,100,16,0.3333333333333333
[4],ReLU,10.0,100,32,0.3333333333333333
[4],ReLU,10.0,100,64,0.3333333333333333
[4],ReLU,10.0,100,128,0.3333333333333333
[4],ReLU,10.0,100,256,0.3333333333333333
[4],ReLU,10.0,100,512,0.3333333333333333
[4],ReLU,10.0,250,16,0.3333333333333333
[4],ReLU,10.0,250,32,0.3333333333333333
[4],ReLU,10.0,250,64,0.3333333333333333
[4],ReLU,10.0,250,128,0.3333333333333333
[4],ReLU,10.0,250,256,0.3333333333333333
[4],ReLU,10.0,250,512,0.3333333333333333
[4],ReLU,1.0,1,16,0.9444444444444444
[4],ReLU,1.0,1,32,0.9722222222222222
[4],ReLU,1.0,1,64,0.8611111111111112
[4],ReLU,1.0,1,128,0.3888888888888889
[4],ReLU,1.0,1,256,0.75
[4],ReLU,1.0,1,512,0.5833333333333334
[4],ReLU,1.0,10,16,0.9722222222222222
[4],ReLU,1.0,10,32,0.9722222222222222
[4],ReLU,1.0,10,64,0.9722222222222222
[4],ReLU,1.0,10,128,0.9722222222222222
[4],ReLU,1.0,10,256,0.9722222222222222
[4],ReLU,1.0,10,512,0.9722222222222222
[4],ReLU,1.0,25,16,0.9722222222222222
[4],ReLU,1.0,25,32,0.9722222222222222
[4],ReLU,1.0,25,64,0.9444444444444444
[4],ReLU,1.0,25,128,0.9722222222222222
[4],ReLU,1.0,25,256,0.9722222222222222
