hidden_layers,activation,learning_rate,batch_size,final_train_loss,final_test_loss
[4],ReLU,1.0,16,0.6639736228519015,0.7940658132235209
[4],ReLU,1.0,32,0.7068689227104187,0.7822419703006744
[4],ReLU,1.0,64,0.7389093438784281,0.6500822305679321
[4],ReLU,1.0,128,1.4160037636756897,1.8178372383117676
[4],ReLU,0.1,16,0.0763766508963373,0.05098567778865496
[4],ReLU,0.1,32,0.06279943659901618,0.05483333487063646
[4],ReLU,0.1,64,0.07461595038572948,0.09174742549657822
[4],ReLU,0.1,128,0.16204142570495605,0.12465972453355789
[4],ReLU,0.01,16,0.09987721923324797,0.0962678665916125
[4],ReLU,0.01,32,0.6091930031776428,0.5548364818096161
[4],ReLU,0.01,64,0.7582481702168783,0.43101418018341064
[4],ReLU,0.01,128,1.1589967608451843,0.8318701982498169
[4],ReLU,0.001,16,3.5559500058492026,2.9372251828511557
[4],ReLU,0.001,32,3.9675622940063477,2.9073790311813354
[4],ReLU,0.001,64,3.5830911000569663,3.1255502700805664
[4],ReLU,0.001,128,4.190216064453125,3.382918357849121
[4],ReLU,0.0001,16,5.239361710018581,4.274324019749959
[4],ReLU,0.0001,32,6.570283222198486,5.094744801521301
[4],ReLU,0.0001,64,4.966669082641602,4.546278476715088
[4],ReLU,0.0001,128,4.63927435874939,4.050596237182617
[4],Sigmoid,1.0,16,0.14979828852746221,0.202755997578303
[4],Sigmoid,1.0,32,0.06030186153948307,0.03365658409893513
[4],Sigmoid,1.0,64,0.14776374648014703,0.1377984881401062
[4],Sigmoid,1.0,128,0.31086183339357376,0.41960540413856506
[4],Sigmoid,0.1,16,0.02795308093643851,0.030858506138126057
[4],Sigmoid,0.1,32,0.034433430060744286,0.027041254565119743
[4],Sigmoid,0.1,64,0.1890975534915924,0.14617551863193512
[4],Sigmoid,0.1,128,0.4866684526205063,0.3538457155227661
[4],Sigmoid,0.01,16,0.23194039364655814,0.16796806951363882
[4],Sigmoid,0.01,32,0.5584544658660888,0.349807545542717
[4],Sigmoid,0.01,64,0.7703604698181152,0.521638810634613
[4],Sigmoid,0.01,128,4.592370271682739,3.7521297931671143
[4],Sigmoid,0.001,16,2.8203941451178656,2.284340262413025
[4],Sigmoid,0.001,32,1.957027220726013,1.5227641463279724
[4],Sigmoid,0.001,64,4.634263038635254,4.06851863861084
[4],Sigmoid,0.001,128,5.337042808532715,3.85420560836792
[4],Sigmoid,0.0001,16,4.411802477306789,3.6686559518178306
[4],Sigmoid,0.0001,32,3.1707852840423585,2.5999977588653564
[4],Sigmoid,0.0001,64,5.0754462877909345,4.534482955932617
[4],Sigmoid,0.0001,128,3.073370933532715,2.7631642818450928
[4],Tanh,1.0,16,0.2036061253812578,0.13740192726254463
[4],Tanh,1.0,32,0.09776511304080486,0.09050139621831477
[4],Tanh,1.0,64,0.21076911687850952,0.24874356389045715
[4],Tanh,1.0,128,0.6258256137371063,0.3329516649246216
[4],Tanh,0.1,16,0.00956683912469695,0.0028331953362794593
[4],Tanh,0.1,32,0.01925901500508189,0.005921645439229906
[4],Tanh,0.1,64,0.08119869977235794,0.04676627740263939
[4],Tanh,0.1,128,0.280629500746727,0.17268824577331543
[4],Tanh,0.01,16,0.09625004645850924,0.05316744123895963
[4],Tanh,0.01,32,1.023786199092865,0.8321515619754791
[4],Tanh,0.01,64,1.3001432021458943,1.127016544342041
[4],Tanh,0.01,128,2.8797394037246704,2.437006711959839
